id cliente,nombre,apellido1,apellido2,telefono,edad,sexo,estado salud,ingresos,deporte,educacion,altura,peso,lugar_comida,tipo_comida,alcohol,tabaco,horas_sueño,ocupacion
26,Rodrigo,García,Mendizábal,672 345 789,27,hombre,Excelente,Bajo,No,Universitaria,184,95,trabajo,Italiana,0,0,9,activo
51,Ricardo,Rivera,Acosta,151 234 56789,51,hombre,Excelente,Medio,Sí,Primaria,183,53,restaurante,Pizza,1,1,8,estresante
27,Natalia,Fernández,Uribe,601 234 567,64,mujer,Malo,Medio,Sí,Secundaria,162,160,casa,Vegetariana,1,1,12,activo
28,Esteban,González,Sanz,689 987 654,35,hombre,Malo,Alto,No,Postgrado,188,74,casa,Arabe,0,0,11,activo
29,Isabel,Martínez,Salazar,612 345 678,18,mujer,,Bajo,Sí,,230,134,trabajo,Hamburguesa,0,1,10,estresante
30,Hugo,López,Aguirre,673 890 123,52,hombre,Malo,Medio,No,Universitaria,186,104,casa,China,0,0,10,activo
31,Fernanda,Pérez,Etxebarria,645 321 098,71,mujer,Otro,Alto,Sí,Secundaria,184,173,trabajo,Pizza,1,1,4,estresante
32,Enrique,Sánchez,Aramburu,687 654 321,29,hombre,Malo,Bajo,No,Primaria,150,174,restaurante,Arabe,1,1,11,sedentaria
33,Elena,Álvarez,Sarasola,609 876 543,47,mujer,Otro,Medio,Sí,Postgrado,185,80,casa,Pizza,0,1,6,estresante
34,Manuel,Gutiérrez,Zabaleta,611 123 456,15,hombre,,Alto,No,Universitaria,178,113,casa,Tradicional,0,1,7,sedentaria
35,Julia,Rodríguez,Ochoa,658 765 432,38,mujer,Excelente,Bajo,Sí,Secundaria,179,86,casa,Arabe,0,0,12,estresante
36,Sebastián,Muñoz,Garmendia,621 456 789,23,hombre,Malo,Medio,No,Primaria,151,225,trabajo,China,1,0,10,sedentaria
37,Claudia,Díez,Urrutia,654 987 321,60,mujer,Malo,Alto,Sí,Postgrado,186,151,trabajo,Pizza,1,0,8,activo
38,Francisco,Alonso,Aznar,677 890 654,76,hombre,,Bajo,No,Universitaria,166,116,casa,Tradicional,0,1,5,activo
39,Beatriz,Gómez,Goikoetxea,645 098 765,55,mujer,Normal,Medio,Sí,Secundaria,181,168,restaurante,China,0,1,8,activo
52,Patricia,Mendoza,Ponce,55 5678 1234,65,mujer,Malo,Bajo,,Secundaria,165,199,casa,Vegetariana,1,0,10,estresante
40,Rubén,Ortega,Olazábal,683 567 123,19,hombre,Excelente,Alto,,,164,59,trabajo,Tradicional,0,0,10,estresante
41,Alicia,Ruiz,Unzueta,699 234 890,41,mujer,Malo,Bajo,Sí,Universitaria,170,73,trabajo,Hamburguesa,0,1,11,activo
42,Óscar,Villar,Eguía,615 876 543,30,hombre,Malo,Medio,No,Secundaria,166,135,restaurante,Pizza,1,0,12,estresante
43,Irene,Llorente,Bedia,647 890 321,66,mujer,Normal,,Sí,Postgrado,159,58,casa,Italiana,1,0,10,sedentaria
44,Pedro,Echeverría,Iturralde,633 098 765,25,hombre,Excelente,Bajo,No,Primaria,178,250,casa,Hamburguesa,1,1,7,sedentaria
45,Marta,Zubizarreta,Bermejo,622 123 789,49,mujer,Malo,Medio,Sí,Universitaria,197,110,trabajo,Arabe,1,1,9,sedentaria
46,Álvaro,Ibarra,Iribarren,609 456 123,80,hombre,,Alto,No,Secundaria,170,186,restaurante,Arabe,0,1,11,estresante
47,Mónica,Otegui,Lizarazu,675 321 987,33,mujer,Malo,Bajo,Sí,Primaria,162,93,restaurante,Vegetariana,1,1,12,sedentaria
48,Rafael,Goñi,Olano,692 654 321,44,hombre,Normal,Medio,No,Postgrado,171,126,trabajo,Tradicional,1,0,6,sedentaria
49,Susana,Arrieta,Aizpurua,687 234 567,58,mujer,Otro,Alto,Sí,Universitaria,164,61,restaurante,Pizza,1,1,9,estresante
50,Cristian,Arozena,Iriarte,611 987 654,16,hombre,Malo,Bajo,No,Secundaria,162,161,restaurante,Hamburguesa,0,0,10,activo
53,Claudia,Díez,Urrutia,654 987 321,60,mujer,Malo,Alto,Sí,,159,110,trabajo,Italiana,1,0,10,estresante
54,Lucía,Castillo,Vega,612 345 678,58,mujer,Malo,Medio,No,Secundaria,171,150,restaurante,Tradicional,1,1,17,estresante
55,Julia,Rodríguez,Ochoa,658 765 432,38,mujer,Excelente,Bajo,Sí,Secundaria,245,188,restaurante,Tradicional,0,0,11,sedentaria
56,Mónica,Otegui,Lizarazu,675 321 987,33,mujer,Malo,Bajo,Sí,Primaria,186,125,trabajo,Arabe,1,1,10,estresante
57,Mónica,Otegui,Lizarazu,675 321 987,33,mujer,Malo,Bajo,Sí,Primaria,161,124,restaurante,Italiana,1,1,12,estresante
58,Mónica,Otegui,Lizarazu,675 321 987,33,mujer,Malo,Bajo,Sí,Primaria,164,196,casa,Tradicional,0,1,12,sedentaria
